Permit Number,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
16-20262,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/30/2016,04/14/2016,14200025900,Red Line Bar and Grill,Red Line LLC,142  Belle Forest CIR,Nashville,TN,37221.00000,22,37018401,"142 Belle Forest CIR
Nashville, TN 37221
(36.076626, -86.922368)"
16-17353,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,10416000200,Delta Express 3307,Mapco Express Inc,2115  21st AVE S,Nashville,TN,37212.00000,18,37016800,"2115 21st AVE S
Nashville, TN 37212
(36.130523, -86.801868)"
10-16607,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/01/2009,12/31/2009,14900037200,CVS/Pharmacy,Tennessee CVS Pharmacy LLC,2788  Murfreesboro PIKE,Antioch,TN,37013.00000,29,37015620,"2788 Murfreesboro PIKE
Antioch, TN 37013
(36.067736, -86.631562)"
08-18911,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/08/2008,10/22/2008,17100014900,Cinco De Mayo Mexican Rest,"Zaragoza, Inc",4944  Thoroughbred LN,Brentwood,TN,37027.00000,34,37018700,"4944 Thoroughbred LN
Brentwood, TN 37027
(36.035554, -86.787575)"
15-17227,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/19/2014,01/08/2015,10616004601,Walgreens,Walgreen Co.,1081  Murfreesboro PIKE,Nashville,TN,37217.00000,13,15802,"1081 Murfreesboro PIKE
Nashville, TN 37217
(36.127411, -86.712113)"
10-16648,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/22/2010,04/09/2010,17200019400,Sudden Service,"Hollingsworth Oil, Co.",6029  Nolensville PIKE,Nashville,TN,37211.00000,4,37019115,"6029 Nolensville PIKE
Nashville, TN 37211
(36.025023, -86.713028)"
17-25125,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/12/2017,09/21/2017,17212010600,DEEP SOUTH GROWLERS,,6900  LENOX VILLAGE DR,NASHVILLE,TN,37211.00000,31,37019114,"6900 LENOX VILLAGE DR
NASHVILLE, TN 37211
(36.025525, -86.712036)"
94-15724,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/28/1993,02/01/1994,10408012600,Pizza Perfect,Perfect Enterprises Inc.,1602  21st AVE S,Nashville,TN,37212.00000,17,37016400,"1602 21st AVE S
Nashville, TN 37212
(36.138581, -86.800655)"
12-00922,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/14/2012,07/11/2012,11801011100,Urban Grub Restaurant,"Urban Grub at 12th South, LLC",2506  12th AVE S,Nashville,TN,37204.00000,17,37017000,"2506 12th AVE S
Nashville, TN 37204
(36.125053, -86.789489)"
18-25478,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/16/2018,06/25/2018,09216010800,AMERIGO RESTAURANT,,1920  WEST END AVE,NASHVILLE,TN,37203.00000,21,37019500,"1920 WEST END AVE
NASHVILLE, TN 37203
(36.151476, -86.79912)"
17-25131,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/19/2017,10/06/2017,093090B00200CO,MILK & HONEY NASHVILLE,,214  11TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"214 11TH AVE S
NASHVILLE, TN 37203
(36.15391, -86.784243)"
14-20009,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/26/2014,11/20/2014,14700000800,WingStop,TCBWS3 LLC,4122  Nolensville PIKE,Nashville,TN,37211.00000,30,37019004,"4122 Nolensville PIKE
Nashville, TN 37211
(36.078433, -86.726001)"
06-16193,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/26/2006,12/12/2006,14800019700,Mari Tortilla Market,"Epxyns, Inc.",1708  Antioch PIKE,Antioch,TN,37013.00000,28,37015615,"1708 Antioch PIKE
Antioch, TN 37013
(36.071842, -86.683708)"
05-00729,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/30/2004,01/31/2005,13415003000,21 Club,"Greg Cook, Sandra Jo Vaughan",1331  Antioch PIKE,Nashville,TN,37211.00000,28,37015613,"1331 Antioch PIKE
Nashville, TN 37211
(36.084093, -86.689603)"
01-15474,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/20/2001,10/11/2001,16100003400,Daily's,Tri-Star Energy LLC,410  Old Hickory BLVD,Nashville,TN,37027.00000,4,37018801,"410 Old Hickory BLVD
Nashville, TN 37027
(36.040171, -86.744685)"
13-17079,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/04/2013,10/24/2013,10504024900,Mucho Express,Tesfalidet Berhane,167  Lafayette ST,Nashville,TN,37210.00000,17,37016000,"167 Lafayette ST
Nashville, TN 37210
(36.147203, -86.757584)"
16-17401,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,16100018500,Mapco Mart 3413,"Mapco Express, Inc.",15109  Old Hickory BLVD,Nashville,TN,37211.00000,4,37019116,"15109 Old Hickory BLVD
Nashville, TN 37211
(36.045224, -86.715144)"
14-19899,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/28/2014,05/29/2014,10700005000,Nashville International Airpor,Host International Inc,1  Terminal DR,Nashville,TN,37214.00000,13,37980100,"1 Terminal DR
Nashville, TN 37214
(36.13158, -86.668727)"
15-20112,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/12/2015,06/11/2015,082090Q00100CO,312 Pizza Company,312 Pizza Company LLC,371  Monroe ST,Nashville,TN,37208.00000,19,37019400,"371 Monroe ST
Nashville, TN 37208
(36.177213, -86.787886)"
16-20299,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/02/2016,06/23/2016,16300029500,New Century Buffet,New Century Buffet Inc.,5436  Bell Forge LN E,Antioch,TN,37013.00000,32,37015629,"5436 Bell Forge LN E
Antioch, TN 37013
(36.049969, -86.6465)"
10-16680,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/21/2010,08/12/2010,13600015000,Antioch Shell,"MSA An Group, LLC",2813  Smith Springs RD,Nashville,TN,37217.00000,29,37015617,"2813 Smith Springs RD
Nashville, TN 37217
(36.088425, -86.610061)"
10-16670,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/10/2010,06/24/2010,10200003300,"Publix Tennessee, LLC","Publix Tennessee, LLC",6614  Charlotte PIKE,Nashville,TN,37209.00000,20,37018201,"6614 Charlotte PIKE
Nashville, TN 37209
(36.138423, -86.881374)"
07-16346,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/28/2007,12/19/2007,18300002500,Antioch TravelCenter,"TA Operating, LLC",13011  Old Hickory BLVD,Antioch,TN,37013.00000,33,37015630,"13011 Old Hickory BLVD
Antioch, TN 37013
(36.015788, -86.620116)"
17-25206,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/11/2017,10/12/2017,10412000300,HOPDODDY BURGER BAR,,1805  21ST AVE S 100,NASHVILLE,TN,37212.00000,18,37016800,"1805 21ST AVE S 100
NASHVILLE, TN 37212
(36.136461, -86.800905)"
17-25275,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/11/2017,10/26/2017,14900032500,ARK MARKET,,2421  EDGE O LAKE DR,ANTIOCH,TN,37013.00000,28,37015626,"2421 EDGE O LAKE DR
ANTIOCH, TN 37013
(36.078564, -86.645523)"
15-20175,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/20/2015,09/10/2015,10403006600,J. Alexander's/Redlands Grill,"J. Alexander's Restaurant, LLC",2609  West End AVE,Nashville,TN,37203.00000,18,37016600,"2609 West End AVE
Nashville, TN 37203
(36.145856, -86.810734)"
95-16497,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/30/1995,06/14/1995,16300036400,The Olive Garden Italian Resta,"GMRI, Inc.",1131  Bell RD,Antioch,TN,37013.00000,32,37019111,"1131 Bell RD
Antioch, TN 37013
(36.044943, -86.664747)"
17-25082,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2017,08/30/2017,11815001000,CHIPOTLE MEXICAN GRILL #2787,,731  THOMPSON LN,NASHVILLE,TN,37204.00000,16,37980200,"731 THOMPSON LN
NASHVILLE, TN 37204
(36.112295, -86.767022)"
08-00834,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/29/2008,02/14/2008,10408011600,McDougal's Chicken Fingers and,"McDougal's Village Coop, Inc.",2115  Belcourt AVE,Nashville,TN,37212.00000,18,37016800,"2115 Belcourt AVE
Nashville, TN 37212
(36.13676, -86.802229)"
16-17393,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,11913022500,Mapco Express 1018,"Mapco Express, Inc.",3043  Nolensville PIKE,Nashville,TN,37211.00000,16,37017500,"3043 Nolensville PIKE
Nashville, TN 37211
(36.104411, -86.741889)"
13-00940,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,06/26/2013,07/11/2013,13310004200,Carl's,James A. Torbett,3765  Nolensville PIKE,Nashville,TN,37211.00000,26,37017500,"3765 Nolensville PIKE
Nashville, TN 37211
(36.091567, -86.735171)"
17-25099,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/27/2017,07/17/2017,11804007800,"SPORT BAR EL NUEVO AMANECER, INC.",,398  ROSEDALE AVE,NASHVILLE,TN,37211.00000,17,37017200,"398 ROSEDALE AVE
NASHVILLE, TN 37211
(36.124968, -86.753051)"
94-16313,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/03/1993,02/01/1994,10612001400,Wilhagans,Wilhagans Inc.,318  WILHAGAN RD,NASHVILLE,TN,37217.00000,15,37015803,"318 WILHAGAN RD
NASHVILLE, TN 37217
(36.135119, -86.718238)"
17-20421,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/29/2016,02/23/2017,10501023300,Barcelona Wine Bar,Barcelona Edgehill LLC,1200  Villa PL  110,Nashville,TN,37212.00000,17,37016300,"1200 Villa PL 110
Nashville, TN 37212
(36.142756, -86.791967)"
01-15457,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/19/2001,10/11/2001,17100010700,Daily's,"Tri-Star Energy, LLC",799  Old Hickory BLVD,Brentwood,TN,37027.00000,34,37018700,"799 Old Hickory BLVD
Brentwood, TN 37027
(36.037449, -86.785582)"
09-18947,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/23/2008,01/29/2009,10200009600,Blue Coast Burrito,"BCB Restaurant Group, LLC",6800  Charlotte PIKE  106,Nashville,TN,37209.00000,20,37018201,"6800 Charlotte PIKE 106
Nashville, TN 37209
(36.13468, -86.888222)"
10-16600,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/30/2009,12/31/2009,11603000500,CVS/Pharmacy,Tennessee CVS Pharmacy LLC,4524  Harding PIKE,Nashville,TN,37205.00000,24,37018000,"4524 Harding PIKE
Nashville, TN 37205
(36.12425, -86.848624)"
01-17859,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/28/2001,11/12/2001,10801005900,Drury Inn & Suites - Nashville,Drury Development Corporation,555  Donelson PIKE,Nashville,TN,37214.00000,15,37015502,"555 Donelson PIKE
Nashville, TN 37214
(36.145222, -86.666714)"
05-16031,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/28/2005,08/11/2005,13600015200,Compton's Foodland,Compton Foods Inc.,2808  Smith Springs RD,Nashville,TN,37217.00000,29,37015617,"2808 Smith Springs RD
Nashville, TN 37217
(36.088461, -86.61079)"
94-16018,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/09/1993,02/01/1994,14200026800,Cancun Mexican Rest.,Frontera Group Inc.,7077  Highway 70  S,Nashville,TN,37221.00000,34,37018404,"7077 Highway 70 S
Nashville, TN 37221
(36.074787, -86.919884)"
06-16199,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/27/2006,11/06/2006,10200009100,Costco Wholesale,Costco Wholesale Corporation,6670  Charlotte PIKE,Nashville,TN,37209.00000,20,37018201,"6670 Charlotte PIKE
Nashville, TN 37209
(36.136387, -86.884058)"
09-16513,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/24/2009,07/09/2009,12000001000,Mr. Mario Discount Beer &,Haydy Gamil Gendy,1208  Murfreesboro PIKE,Nashville,TN,37217.00000,,,"1208 Murfreesboro PIKE
Nashville, TN 37217
(36.120945, -86.703572)"
16-20233,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/19/2016,02/11/2016,10501022800,Edgehill Cafe,Edgehill Holdings LLC,1201  Villa PL  101,Nashville,TN,37212.00000,17,37016300,"1201 Villa PL 101
Nashville, TN 37212
(36.142914, -86.791936)"
95-16665,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/08/1995,07/12/1995,11710012700,El Palenque Restaurant,El Palenque II Inc.,2210  Crestmoor RD  4,Nashville,TN,37215.00000,25,37017901,"2210 Crestmoor RD 4
Nashville, TN 37215
(36.109461, -86.814767)"
14-17171,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/30/2014,07/24/2014,16100015100,Discount Beer Market,A and J Marketplace Inc,15116  Old Hickory BLVD,Nashville,TN,37211.00000,27,37019105,"15116 Old Hickory BLVD
Nashville, TN 37211
(36.045197, -86.715638)"
15-20190,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/23/2014,10/05/2015,13005000100,Sam's Place,Sams Sports Grill - Westgate LLC,6051  Highway 100,Nashville,TN,37205.00000,34,37018500,"6051 Highway 100
Nashville, TN 37205
(36.097369, -86.873028)"
11-16801,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/23/2011,06/23/2011,10600012300,Kwik Stop Super Mercado,"Kwik Stop Super Mercado, LLC",327  Plus Park BLVD,Nashville,TN,37217.00000,16,37015802,"327 Plus Park BLVD
Nashville, TN 37217
(36.132085, -86.72378)"
16-17389,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,13500007800,Mapco Mart,Mapco Express Inc,2301  Murfreesboro PIKE,Nashville,TN,37217.00000,28,37015626,"2301 Murfreesboro PIKE
Nashville, TN 37217
(36.086304, -86.648309)"
17-17464,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/10/2017,05/12/2017,10412028400,Circle K 3680,MAC's Convenience Stores LLC,2001  Belmont BLVD,Nashville,TN,37212.00000,18,37016800,"2001 Belmont BLVD
Nashville, TN 37212
(36.132842, -86.79574)"
16-17356,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,16300033100,Mapco Mart 3343,Mapco Express Inc,765  Bell RD,Antioch,TN,37013.00000,32,37015628,"765 Bell RD
Antioch, TN 37013
(36.050553, -86.647609)"
17-01016,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/02/2017,02/27/2017,14712005300,Las Americas Market #1 Inc.,Las Americas Market #1 Inc.,4715  Nolensville PIKE,Nashville,TN,37211.00000,27,37018904,"4715 Nolensville PIKE
Nashville, TN 37211
(36.067695, -86.718651)"
16-17304,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/05/2016,01/28/2016,13315010400,Maria Market,Maged Zarif Shokralla,541  Paragon Mills RD,Nashville,TN,37211.00000,26,37019006,"541 Paragon Mills RD
Nashville, TN 37211
(36.085321, -86.727239)"
15-17266,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/29/2015,06/25/2015,14200026700,Kroger,Kroger Limited Partnership,7087  Highway 70  S,Nashville,TN,37221.00000,34,37018404,"7087 Highway 70 S
Nashville, TN 37221
(36.074672, -86.920221)"
14-17112,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/21/2014,02/13/2014,10700008700,Chico Mercado Food,Youssef Ishak,859  Briley PKWY,Nashville,TN,37217.00000,13,37015804,"859 Briley PKWY
Nashville, TN 37217
(36.136816, -86.69941)"
05-18323,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/03/2005,04/15/2005,10204010100,Korea House,Jang Woon Choi,6410  Charlotte PIKE  108,Nashville,TN,37209.00000,20,37018101,"6410 Charlotte PIKE 108
Nashville, TN 37209
(36.143388, -86.873993)"
11-19304,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/22/2011,05/11/2011,16200029000,The Thirsty Turtle Sports Gril,"The Thirsty Turtle 1, Inc.",1307  Bell RD  101,Antioch,TN,37013.00000,31,37019111,"1307 Bell RD 101
Antioch, TN 37013
(36.045845, -86.674863)"
T18-25500,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,05/04/2018,,11714005500,RH,,2101  GREEN HILLS VILLAGE DR,NASHVILLE,TN,37215.00000,25,37017901,"2101 GREEN HILLS VILLAGE DR
NASHVILLE, TN 37215
(36.10842, -86.814186)"
14-19905,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/09/2014,05/29/2014,16300007700,Arabian Palace Lounge LLC,Arabian Palace Lounge LLC,1135  Bell RD  307,Antioch,TN,37013.00000,32,37019111,"1135 Bell RD 307
Antioch, TN 37013
(36.044962, -86.665015)"
01-15456,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/31/2001,10/11/2001,10801004200,Daily's,Tri-Star Energy LLC,580  Donelson PIKE,Nashville,TN,37214.00000,15,37015100,"580 Donelson PIKE
Nashville, TN 37214
(36.143287, -86.666754)"
99-17431,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/16/1998,01/14/1999,17100000500,Mazatlan Mexican Restaurant,"Mazatlan Mexican Restaurant, Inc.",116  WILSON PIKE CIR,BRENTWOOD,TN,37027.00000,34,37018700,"116 WILSON PIKE CIR
BRENTWOOD, TN 37027
(36.035984, -86.785888)"
10-19068,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/13/2010,07/29/2010,10408011500,Belcourt Taps And Tapas,Belcourt Taps And Tapas LLC,2117  Belcourt AVE,Nashville,TN,37212.00000,18,37016800,"2117 Belcourt AVE
Nashville, TN 37212
(36.13677, -86.802345)"
15-17269,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2015,07/07/2015,11400030200,Dollar General Store,Dolgencorp LLC,709  Old Hickory BLVD,Nashville,TN,37209.00000,22,37018301,"709 Old Hickory BLVD
Nashville, TN 37209
(36.11731, -86.92327)"
14-19959,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/2014,08/14/2014,10713013100,Kens Sushi,KHO LLC,1108  Murfreesboro PIKE,Nashville,TN,37217.00000,13,37015802,"1108 Murfreesboro PIKE
Nashville, TN 37217
(36.125963, -86.710043)"
13-19741,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/24/2013,06/13/2013,13315014500,Taj India Restaurant,Taj India Inc,3943  Nolensville PIKE,Nashville,TN,37211.00000,26,37018901,"3943 Nolensville PIKE
Nashville, TN 37211
(36.085441, -86.728671)"
16-20250,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/23/2015,03/14/2016,10503019800,Bastion,Bastion LLC,434  Houston ST  100,Nashville,TN,37203.00000,17,37016100,"434 Houston ST 100
Nashville, TN 37203
(36.142856, -86.766712)"
13-19739,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/23/2013,06/13/2013,10700008600,Mazatlan Mexican Restaurant,"Grupo Azteca, LLC",839  Briley PKWY,Nashville,TN,37217.00000,13,37015804,"839 Briley PKWY
Nashville, TN 37217
(36.137697, -86.699919)"
16-17402,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,16112001200,Delta Express 3216,Mapco Express Inc,15131  Old Hickory BLVD,Nashville,TN,37211.00000,4,37019116,"15131 Old Hickory BLVD
Nashville, TN 37211
(36.045248, -86.716873)"
06-18551,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/09/2006,10/11/2006,10402031500,BrickTop's,"West End Restaurants, LLC",3000  West End AVE,Nashville,TN,37203.00000,21,37016600,"3000 West End AVE
Nashville, TN 37203
(36.143472, -86.814456)"
09-19130,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/07/2009,12/07/2009,10200009500,Buffalo Wild Wings Grill & Bar,"Blazin Wings, Inc.",6816  Charlotte PIKE  110,Nashville,TN,37209.00000,20,37018201,"6816 Charlotte PIKE 110
Nashville, TN 37209
(36.134012, -86.889943)"
16-20308,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/30/2016,07/25/2016,11714005500,Carrabba's Italian Grill,"Carrabba's Italian Grill, LLC",2110  Green Hills Village DR,Nashville,TN,37215.00000,25,37017901,"2110 Green Hills Village DR
Nashville, TN 37215
(36.107833, -86.812941)"
17-25183,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/24/2017,09/14/2017,14908005200,"SOHO LOUNGE, LLC",,480  BELL RD,NASHVILLE,TN,37217.00000,29,37015620,"480 BELL RD
NASHVILLE, TN 37217
(36.072365, -86.636024)"
14-19907,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/04/2014,,11708019200,Martin's Barbecue Joint,"Martins BBQ Joint Mt Juliet, LLC",3110  Belmont BLVD,Nashville,TN,37212.00000,18,16900,"3110 Belmont BLVD
Nashville, TN 37212
(36.118661, -86.796261)"
16-20333,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/23/2016,09/07/2016,10503017900,The Blockhouse,The Blockhouse LLC,516  Houston ST,Nashville,TN,37203.00000,17,37016100,"516 Houston ST
Nashville, TN 37203
(36.143069, -86.768861)"
03-18048,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/12/2003,06/12/2003,10513021200,Mafiaoza's,"Infidel's, LLC",2400  12th AVE S,Nashville,TN,37204.00000,17,37017000,"2400 12th AVE S
Nashville, TN 37204
(36.126134, -86.78927)"
16-20235,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/26/2016,02/12/2016,10308005300,Local Taco,TLT Group Nashville LLC,4501  Murphy RD,Nashville,TN,37209.00000,24,37013400,"4501 Murphy RD
Nashville, TN 37209
(36.141022, -86.84052)"
15-17272,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/02/2015,07/23/2015,10308004000,Billy's Corner,Billys Corner LLC,4400  Murphy RD,Nashville,TN,37209.00000,24,37013400,"4400 Murphy RD
Nashville, TN 37209
(36.140982, -86.839489)"
12-16945,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/29/2012,10/15/2012,050120A00500CO,Murphy,"Murphy Oil USA, Inc.",3434  Doverside DR,Nashville,TN,37207.00000,3,37010903,"3434 Doverside DR
Nashville, TN 37207
(36.243746, -86.757826)"
18-25504,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,05/08/2018,06/26/2018,08313009400,PARTY FOR A PURPOSE,,1006  FATHERLAND ST,NASHVILLE,TN,37206.00000,6,37019200,"1006 FATHERLAND ST
NASHVILLE, TN 37206
(36.17417, -86.751083)"
15-20096,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/09/2015,04/23/2015,16100008200,Midori Japanese Korean Rest.,WJC Inc,5560  NOLENSVILLE PIKE  MEXICAN RE,NASHVILLE,TN,37211.00000,27,37019110,"5560 NOLENSVILLE PIKE MEXICAN RE
NASHVILLE, TN 37211
(36.046655, -86.713398)"
16-17322,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/01/2016,03/24/2016,14900031200,Kwik Sak,Sai Kruppa LLC,2791  Murfreesboro PIKE,Nashville,TN,37013.00000,32,37015629,"2791 Murfreesboro PIKE
Nashville, TN 37013
(36.067712, -86.631537)"
16-20245,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/19/2016,03/10/2016,14903016100,Pharoah's Lounge,George Shehata,2510  Murfreesboro PIKE  11,Nashville,TN,37217.00000,29,37015612,"2510 Murfreesboro PIKE 11
Nashville, TN 37217
(36.078607, -86.643397)"
04-18259,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/03/2004,11/18/2004,14900032500,La Fajitas Inc.,"La Fajitas, Inc.",2419  EDGE O LAKE DR  MEXICAN RE,ANTIOCH,TN,37013.00000,28,37015626,"2419 EDGE O LAKE DR MEXICAN RE
ANTIOCH, TN 37013
(36.07854, -86.645549)"
